Gene,Gene Length BP
ENSG00000123165.8,1131
ENSG00000102038.15,3165
ENSG00000122126.17,2706
ENSG00000171388.12,234
ENSG00000122121.11,2025
ENSG00000122122.10,1143
ENSG00000188706.13,1095
ENSG00000156697.13,2316
ENSG00000085185.15,5136
ENSG00000102034.17,1992
ENSG00000156709.14,1842
ENSG00000134594.5,714
ENSG00000056277.16,2214
ENSG00000102078.16,978
ENSG00000147262.4,1008
ENSG00000134597.16,969
ENSG00000165675.16,1833
ENSG00000147256.12,1644
ENSG00000147255.19,4011
ENSG00000171054.8,927
ENSG00000134602.16,1251
ENSG00000165694.9,2145
ENSG00000123728.10,552
ENSG00000076770.14,1065
ENSG00000171004.18,1818
ENSG00000134588.12,2742
ENSG00000183434.10,1218
ENSG00000076716.9,1671
ENSG00000147257.15,1743
ENSG00000203952.9,978
ENSG00000156531.17,1098
ENSG00000165704.15,657
ENSG00000170965.10,639
ENSG00000156504.16,747
ENSG00000156500.15,459
ENSG00000101928.13,480
ENSG00000184785.6,252
ENSG00000212747.5,342
ENSG00000134590.14,342
ENSG00000203950.6,342
ENSG00000196972.9,237
ENSG00000224107.5,180
ENSG00000169551.12,729
ENSG00000238210.4,180
ENSG00000186376.15,1533
ENSG00000283644.1,180
ENSG00000173275.13,1557
ENSG00000178947.9,237
ENSG00000165359.15,2586
ENSG00000268940.5,570
ENSG00000269096.7,570
ENSG00000228836.8,570
ENSG00000278289.5,570
ENSG00000271449.8,570
ENSG00000273696.4,570
ENSG00000278085.5,570
ENSG00000270946.6,570
ENSG00000269586.7,570
ENSG00000181433.9,2715
ENSG00000169446.5,396
ENSG00000198689.11,2106
ENSG00000022267.19,843
ENSG00000129680.16,2631
ENSG00000156920.11,9243
ENSG00000102239.5,1200
ENSG00000102241.12,2268
ENSG00000102243.13,777
ENSG00000102245.8,786
ENSG00000129675.16,2331
ENSG00000147274.14,1176
ENSG00000165370.2,1527
ENSG00000156925.12,1404
ENSG00000129682.16,738
ENSG00000101981.12,1386
ENSG00000101977.21,2778
ENSG00000101974.14,3399
ENSG00000203933.3,1086
ENSG00000134595.8,1341
ENSG00000227234.2,312
ENSG00000182195.9,441
ENSG00000198573.7,294
ENSG00000198021.7,294
ENSG00000203926.5,294
ENSG00000196406.4,294
ENSG00000165509.13,1932
ENSG00000155495.9,3429
ENSG00000046774.10,1122
ENSG00000189326.4,300
ENSG00000189252.4,426
ENSG00000179542.16,2514
ENSG00000268988.1,543
ENSG00000203923.5,219
ENSG00000185985.10,2538
ENSG00000235699.3,327
ENSG00000224440.1,327
ENSG00000102081.15,1899
ENSG00000176988.9,768
ENSG00000155966.14,3936
ENSG00000287585.1,285
ENSG00000010404.18,1653
ENSG00000241489.8,1020
ENSG00000197620.11,477
ENSG00000283697.2,1002
ENSG00000267978.5,948
ENSG00000268738.3,1272
ENSG00000269556.8,1053
ENSG00000185247.15,1290
ENSG00000171116.7,1272
ENSG00000123584.7,948
ENSG00000156009.10,957
ENSG00000283463.2,1002
ENSG00000197021.9,477
ENSG00000013619.14,2325
ENSG00000171100.15,1812
ENSG00000063601.17,1998
ENSG00000102181.21,642
ENSG00000029993.15,603
ENSG00000102195.10,1854
ENSG00000160131.13,306
ENSG00000166049.11,2322
ENSG00000130032.17,696
ENSG00000147378.11,552
ENSG00000183862.5,1995
ENSG00000147381.11,954
ENSG00000102287.19,1521
ENSG00000124260.12,1110
ENSG00000011677.13,1479
ENSG00000268089.3,1899
ENSG00000221867.9,945
ENSG00000268902.3,384
ENSG00000183305.13,945
ENSG00000198930.13,237
ENSG00000213401.10,945
ENSG00000268606.5,945
ENSG00000268916.6,384
ENSG00000197172.10,945
ENSG00000147400.10,519
ENSG00000147383.11,1122
ENSG00000147394.18,2070
ENSG00000198883.12,1347
ENSG00000183837.9,1392
ENSG00000235961.6,1200
ENSG00000198681.7,930
ENSG00000278803.2,6186
ENSG00000225110.3,1737
ENSG00000063587.15,1131
ENSG00000214897.5,1944
ENSG00000189420.8,1251
ENSG00000183479.12,711
ENSG00000213397.10,1107
ENSG00000182492.16,1107
ENSG00000067842.17,3522
ENSG00000262919.8,687
ENSG00000130829.18,1155
ENSG00000130821.16,1908
ENSG00000185825.17,741
ENSG00000101986.12,2238
ENSG00000198753.12,5730
ENSG00000184343.11,1704
ENSG00000067829.19,1182
ENSG00000180879.14,522
ENSG00000067840.12,2310
ENSG00000198910.14,3774
ENSG00000126895.15,1116
ENSG00000089820.16,2841
ENSG00000102030.16,708
ENSG00000102032.13,1284
ENSG00000172534.14,6108
ENSG00000177854.8,786
ENSG00000184216.14,2139
ENSG00000169057.23,1461
ENSG00000102076.10,1095
ENSG00000268221.6,1095
ENSG00000166160.9,1095
ENSG00000269433.3,1095
ENSG00000278057.4,1233
ENSG00000007350.17,1791
ENSG00000196924.18,7944
ENSG00000102119.11,765
ENSG00000147403.16,645
ENSG00000013563.14,909
ENSG00000102125.16,789
ENSG00000071553.17,1413
ENSG00000203879.12,1344
ENSG00000071859.15,1020
ENSG00000130827.6,5616
ENSG00000196976.7,432
ENSG00000102178.13,474
ENSG00000126903.16,1434
ENSG00000071889.16,693
ENSG00000160211.19,1548
ENSG00000269335.5,1260
ENSG00000268651.3,543
ENSG00000184033.13,543
ENSG00000126890.13,543
ENSG00000160219.12,1761
ENSG00000130826.18,1545
ENSG00000130830.15,1401
ENSG00000203870.5,300
ENSG00000185010.15,7056
ENSG00000274183.2,348
ENSG00000277203.1,1116
ENSG00000165775.18,570
ENSG00000182712.16,207
ENSG00000214827.11,324
ENSG00000185515.14,951
ENSG00000155959.12,594
ENSG00000155961.5,642
ENSG00000155962.13,744
ENSG00000277858.2,348
ENSG00000274791.1,1116
ENSG00000277150.2,1116
ENSG00000277745.1,348
ENSG00000185973.11,1266
ENSG00000168939.11,867
ENSG00000124333.16,663
ENSG00000124334.17,1566
ENSG00000153404.14,4884
ENSG00000185028.4,1545
ENSG00000164366.4,783
ENSG00000286001.1,1071
ENSG00000073578.17,1995
ENSG00000249915.8,576
ENSG00000286169.1,2160
ENSG00000180104.16,2238
ENSG00000066230.12,2505
ENSG00000112877.8,1944
ENSG00000171368.12,660
ENSG00000206077.11,1116
ENSG00000286094.1,1116
ENSG00000188818.12,1239
ENSG00000028310.18,1794
ENSG00000071539.14,1299
ENSG00000145506.14,1356
ENSG00000113504.21,3252
ENSG00000174358.16,1905
ENSG00000164363.10,1887
ENSG00000164362.21,3399
ENSG00000049656.14,1617
ENSG00000142319.18,1863
ENSG00000153395.10,1605
ENSG00000171421.13,312
ENSG00000145494.12,375
ENSG00000113430.10,1560
ENSG00000170561.13,1416
ENSG00000186493.13,417
ENSG00000170549.4,1443
ENSG00000145536.15,3675
ENSG00000133398.4,408
ENSG00000215218.4,486
ENSG00000037474.15,2304
ENSG00000145545.12,780
ENSG00000112941.14,1629
ENSG00000078295.17,3276
ENSG00000215217.7,444
ENSG00000124279.12,1989
ENSG00000124275.15,2097
ENSG00000112902.12,3225
ENSG00000169777.6,900
ENSG00000150756.14,702
ENSG00000150753.12,1626
ENSG00000164237.9,738
ENSG00000145495.16,2733
ENSG00000145491.12,693
ENSG00000164236.12,1485
ENSG00000112977.16,309
ENSG00000169862.19,3678
ENSG00000039139.9,13875
ENSG00000038382.20,9294
ENSG00000145569.6,1071
ENSG00000154124.5,1059
ENSG00000154122.14,1479
ENSG00000183580.10,1476
ENSG00000183654.9,1209
ENSG00000173545.5,1434
ENSG00000154153.13,1071
ENSG00000145555.15,6177
ENSG00000176788.9,684
ENSG00000249662.6,597
ENSG00000268799.3,444
ENSG00000284373.1,597
ENSG00000284439.1,597
ENSG00000284283.1,597
ENSG00000284234.1,597
ENSG00000284042.1,597
ENSG00000284465.1,597
ENSG00000283967.1,597
ENSG00000283988.1,597
ENSG00000284356.1,597
ENSG00000283740.1,597
ENSG00000249156.2,594
ENSG00000283776.1,597
ENSG00000250782.1,594
ENSG00000269466.4,411
ENSG00000145526.12,2373
ENSG00000154162.15,2385
ENSG00000164256.11,2685
ENSG00000040731.10,2367
ENSG00000113100.10,2370
ENSG00000113361.13,2373
ENSG00000113360.16,4125
ENSG00000082213.18,1329
ENSG00000133401.16,8520
ENSG00000113384.14,897
ENSG00000150712.11,2244
ENSG00000056097.16,3225
ENSG00000113387.12,384
ENSG00000113389.16,1623
ENSG00000113407.13,2172
ENSG00000151388.11,4785
ENSG00000182631.7,1410
ENSG00000164175.15,1593
ENSG00000273294.1,855
ENSG00000242110.8,846
ENSG00000082196.20,741
ENSG00000039560.14,2943
ENSG00000205838.14,1086
ENSG00000113456.19,849
ENSG00000113460.13,1062
ENSG00000168724.17,1596
ENSG00000113492.14,1545
ENSG00000113494.17,1869
ENSG00000168685.15,1380
ENSG00000152611.12,627
ENSG00000145626.12,1572
ENSG00000168671.10,1572
ENSG00000164187.7,2088
ENSG00000145604.16,1275
ENSG00000152620.13,1329
ENSG00000164188.8,1398
ENSG00000079215.14,1629
ENSG00000164190.19,8415
ENSG00000197603.14,9594
ENSG00000113569.16,4176
ENSG00000082068.9,1965
ENSG00000168621.15,636
ENSG00000164318.18,3030
ENSG00000113594.10,3294
ENSG00000145623.13,2940
ENSG00000164327.13,5127
ENSG00000082074.18,2352
ENSG00000113600.11,1680
ENSG00000153071.15,2313
ENSG00000171522.6,1467
ENSG00000113638.14,789
ENSG00000132356.11,1680
ENSG00000145592.14,294
ENSG00000132357.14,3114
ENSG00000112936.19,2532
ENSG00000171495.17,4758
ENSG00000039537.13,2805
ENSG00000182836.10,966
ENSG00000083720.13,1563
ENSG00000205765.9,885
ENSG00000151876.13,1164
ENSG00000112964.14,1917
ENSG00000198865.10,765
ENSG00000250722.6,1146
ENSG00000177721.4,582
ENSG00000172262.11,1770
ENSG00000177453.7,1311
ENSG00000112972.15,1563
ENSG00000151882.11,384
ENSG00000151881.14,648
ENSG00000172244.9,1917
ENSG00000172239.14,1104
ENSG00000112992.18,3261
ENSG00000070193.5,627
ENSG00000112996.11,1320
ENSG00000164588.8,2673
ENSG00000170571.12,984
ENSG00000151883.19,2565
ENSG00000016082.15,1050
ENSG00000152684.11,1158
ENSG00000213949.10,3540
ENSG00000164171.11,3546
ENSG00000164172.19,567
ENSG00000134363.12,1035
ENSG00000164258.12,528
ENSG00000185305.11,615
ENSG00000169271.3,453
ENSG00000178996.14,1875
ENSG00000164283.13,555
ENSG00000113088.6,795
ENSG00000145649.8,789
ENSG00000164287.12,1548
ENSG00000164294.14,630
ENSG00000234602.9,1158
ENSG00000152669.9,1053
ENSG00000067248.10,4110
ENSG00000039123.16,3129
ENSG00000067113.17,858
ENSG00000177058.12,1686
ENSG00000152670.19,2175
ENSG00000164509.15,2295
ENSG00000134352.20,2757
ENSG00000164512.18,1845
ENSG00000095015.6,4539
ENSG00000155542.12,900
ENSG00000155545.19,1650
ENSG00000062194.16,1422
ENSG00000169067.4,1131
ENSG00000145632.15,2058
ENSG00000175857.8,474
ENSG00000152932.8,684
ENSG00000113448.19,2247
ENSG00000035499.13,1590
ENSG00000164181.14,846
ENSG00000049167.14,1191
ENSG00000164182.11,510
ENSG00000188725.8,225
ENSG00000068796.18,2121
ENSG00000086189.10,942
ENSG00000086200.16,2928
ENSG00000186105.8,1869
ENSG00000178394.5,1269
ENSG00000164197.12,1779
ENSG00000186479.5,774
ENSG00000145642.12,483
ENSG00000153006.16,468
ENSG00000153015.16,1419
ENSG00000123219.13,810
ENSG00000113593.12,1941
ENSG00000113595.15,1725
ENSG00000113597.18,1257
ENSG00000197860.10,915
ENSG00000123213.23,2115
ENSG00000112851.14,4116
ENSG00000153914.16,1875
ENSG00000069020.18,7305
ENSG00000134061.5,1986
ENSG00000145675.15,2175
ENSG00000145740.19,2298
ENSG00000134057.15,1302
ENSG00000153044.10,744
ENSG00000134056.12,312
ENSG00000134058.12,1041
ENSG00000183323.13,1536
ENSG00000085231.14,519
ENSG00000273841.5,795
ENSG00000152942.19,2046
ENSG00000152939.17,1677
ENSG00000205572.10,189
ENSG00000205571.14,885
ENSG00000172058.15,189
ENSG00000172062.16,885
ENSG00000249437.8,4212
ENSG00000145736.14,1188
ENSG00000145734.19,7875
ENSG00000131844.16,1692
ENSG00000164326.5,351
ENSG00000131711.15,7407
ENSG00000113048.16,1245
ENSG00000049883.15,1167
ENSG00000178175.12,2235
ENSG00000083312.17,2673
ENSG00000157107.14,2433
ENSG00000157111.13,975
ENSG00000164325.8,732
ENSG00000251493.5,1398
ENSG00000145741.15,489
ENSG00000164331.10,942
ENSG00000164338.10,1557
ENSG00000214944.9,5196
ENSG00000171617.14,1770
ENSG00000049860.14,1671
ENSG00000164347.18,2340
ENSG00000164346.10,783
ENSG00000198780.12,2013
ENSG00000176928.7,1362
ENSG00000145700.10,5622
ENSG00000113161.16,2667
ENSG00000113163.17,1875
ENSG00000122008.15,2613
ENSG00000152359.15,1728
ENSG00000122012.14,2184
ENSG00000145703.16,4728
ENSG00000164220.7,1125
ENSG00000181104.7,1278
ENSG00000164251.5,1194
ENSG00000171643.14,300
ENSG00000145708.11,969
ENSG00000164252.13,2145
ENSG00000132846.6,705
ENSG00000284762.1,2286
ENSG00000113231.14,2658
ENSG00000164253.14,1380
ENSG00000171540.7,978
ENSG00000171530.14,327
ENSG00000132842.14,3285
ENSG00000085365.18,1017
ENSG00000145685.14,687
ENSG00000113273.17,1602
ENSG00000132837.15,2601
ENSG00000132840.10,1092
ENSG00000145692.15,1221
ENSG00000152409.9,2967
ENSG00000152413.15,1065
ENSG00000164329.13,1455
ENSG00000164309.15,12210
ENSG00000177034.17,747
ENSG00000113296.14,2886
ENSG00000164300.17,1386
ENSG00000164299.7,1293
ENSG00000039319.17,4620
ENSG00000152380.10,831
ENSG00000189127.8,1545
ENSG00000228716.7,564
ENSG00000113319.13,3714
ENSG00000131730.16,1260
ENSG00000131732.12,816
ENSG00000172497.9,1668
ENSG00000145687.16,1086
ENSG00000152348.16,663
ENSG00000186468.13,432
ENSG00000205464.12,675
ENSG00000174695.10,219
ENSG00000152422.16,1011
ENSG00000038427.16,10191
ENSG00000145681.11,1065
ENSG00000127184.13,192
ENSG00000145715.15,3144
ENSG00000134480.16,972
ENSG00000164180.13,1464
ENSG00000081189.16,1392
ENSG00000153140.8,504
ENSG00000176055.10,840
ENSG00000113356.12,672
ENSG00000176018.13,921
ENSG00000164199.18,18921
ENSG00000113369.9,1245
ENSG00000175745.14,1272
ENSG00000113391.19,1251
ENSG00000248483.7,987
ENSG00000133302.13,3177
ENSG00000175471.19,3000
ENSG00000153347.10,1359
ENSG00000198677.12,4695
ENSG00000164291.17,1611
ENSG00000178015.5,1305
ENSG00000175449.14,474
ENSG00000145757.16,765
ENSG00000164292.13,1836
ENSG00000173221.14,321
ENSG00000118985.16,1923
ENSG00000175426.11,2262
ENSG00000153113.23,2061
ENSG00000164307.13,2847
ENSG00000164308.17,2883
ENSG00000113441.16,3078
ENSG00000145721.12,849
ENSG00000058729.11,1659
ENSG00000174136.13,1437
ENSG00000153922.10,5133
ENSG00000174132.9,573
ENSG00000113532.13,1080
ENSG00000173930.9,2175
ENSG00000205359.10,2160
ENSG00000145730.20,2718
ENSG00000145723.17,1569
ENSG00000145725.19,3669
ENSG00000181751.10,621
ENSG00000112874.10,1389
ENSG00000184349.13,687
ENSG00000145743.17,2106
ENSG00000151422.13,2469
ENSG00000198961.10,2127
ENSG00000112893.9,3435
ENSG00000186952.15,1974
ENSG00000164209.17,1257
ENSG00000145777.15,480
ENSG00000134987.11,2856
ENSG00000152495.11,1422
ENSG00000164211.13,618
ENSG00000134986.14,207
ENSG00000129595.13,2061
ENSG00000134982.17,8532
ENSG00000153037.15,435
ENSG00000129625.13,570
ENSG00000172795.16,1263
ENSG00000171444.18,3060
ENSG00000212122.4,1104
ENSG00000047188.16,4293
ENSG00000080709.16,1740
ENSG00000152503.9,2187
ENSG00000164219.10,1134
ENSG00000164221.13,1341
ENSG00000145780.8,1854
ENSG00000243414.6,708
ENSG00000251201.8,1215
ENSG00000134970.14,675
ENSG00000129596.5,603
ENSG00000145782.13,423
ENSG00000177879.17,582
ENSG00000172901.20,2973
ENSG00000268223.5,459
ENSG00000145781.9,609
ENSG00000092421.16,3093
ENSG00000169570.10,897
ENSG00000172869.14,9084
ENSG00000145779.8,597
ENSG00000133835.17,2211
ENSG00000164334.15,990
ENSG00000184838.15,915
ENSG00000181867.3,729
ENSG00000151304.6,1290
ENSG00000113083.14,1254
ENSG00000164185.6,1095
ENSG00000250803.6,327
ENSG00000064692.19,2760
ENSG00000205302.7,1560
ENSG00000064652.11,510
ENSG00000168938.6,639
ENSG00000168944.16,2961
ENSG00000151292.17,1344
ENSG00000168916.15,4539
ENSG00000155324.10,1299
ENSG00000164904.18,1620
ENSG00000164902.14,1185
ENSG00000196900.5,405
ENSG00000113368.12,1761
ENSG00000173926.6,762
ENSG00000164241.13,348
ENSG00000145794.17,3423
ENSG00000164244.21,1338
ENSG00000205279.8,246
ENSG00000064651.14,3639
ENSG00000138829.12,8739
ENSG00000113396.13,1860
ENSG00000066583.12,897
ENSG00000145808.10,3642
ENSG00000198108.4,2649
ENSG00000169567.12,381
ENSG00000186687.16,315
ENSG00000158985.13,255
ENSG00000158987.21,4806
ENSG00000273217.1,4956
ENSG00000217128.12,3501
ENSG00000239642.6,1122
ENSG00000281938.2,2079
ENSG00000164398.15,2169
ENSG00000164399.5,459
ENSG00000164400.6,435
ENSG00000072682.18,1608
ENSG00000131435.13,993
ENSG00000197208.6,1656
ENSG00000197375.13,1674
ENSG00000283782.2,3642
ENSG00000125347.14,978
ENSG00000113525.10,405
ENSG00000113522.14,3939
ENSG00000169194.9,441
ENSG00000113520.11,462
ENSG00000131437.15,2100
ENSG00000205089.7,1110
ENSG00000164402.14,1452
ENSG00000198944.6,1650
ENSG00000164403.14,2544
ENSG00000164404.8,1365
ENSG00000164405.11,249
ENSG00000164406.8,234
ENSG00000072364.13,3492
ENSG00000155329.12,513
ENSG00000170606.15,2523
ENSG00000053108.17,2529
ENSG00000113583.8,798
ENSG00000213585.11,852
ENSG00000081059.20,1155
ENSG00000113558.19,492
ENSG00000113575.10,930
ENSG00000006837.12,1779
ENSG00000119048.8,459
ENSG00000237190.4,351
ENSG00000152700.14,597
ENSG00000113615.13,3282
ENSG00000164615.5,891
ENSG00000145833.16,3096
ENSG00000181904.9,567
ENSG00000113621.15,1083
ENSG00000132570.15,393
ENSG00000152705.8,1197
ENSG00000069011.16,945
ENSG00000113648.16,1119
ENSG00000251380.3,735
ENSG00000255833.2,486
ENSG00000181965.6,714
ENSG00000145824.13,336
ENSG00000145839.2,435
ENSG00000145826.9,456
ENSG00000120708.17,2052
ENSG00000113658.18,1398
ENSG00000271824.2,312
ENSG00000069018.19,2589
ENSG00000152377.14,1320
ENSG00000146021.15,1764
ENSG00000177733.7,918
ENSG00000120729.10,1497
ENSG00000078795.16,1875
ENSG00000031003.10,2748
ENSG00000061492.12,1056
ENSG00000112981.5,639
ENSG00000112983.17,3708
ENSG00000112984.12,2673
ENSG00000094880.11,1794
ENSG00000146013.11,1203
ENSG00000158402.20,1422
ENSG00000120709.11,1179
ENSG00000120733.14,5286
ENSG00000132563.16,759
ENSG00000120738.8,1632
ENSG00000120705.13,1314
ENSG00000113013.15,2040
ENSG00000044115.21,2721
ENSG00000146006.8,1551
ENSG00000120725.13,1386
ENSG00000280987.4,2544
ENSG00000120727.13,384
ENSG00000170482.17,1809
ENSG00000170476.16,570
ENSG00000228672.4,3048
ENSG00000170464.10,1077
ENSG00000279686.1,618
ENSG00000249751.4,618
ENSG00000283288.1,399
ENSG00000184584.13,1140
ENSG00000131508.16,444
ENSG00000171604.12,969
ENSG00000146005.4,2316
ENSG00000158458.21,2553
ENSG00000185129.7,969
ENSG00000182700.5,162
ENSG00000120306.11,294
ENSG00000113068.10,369
ENSG00000113070.8,627
ENSG00000113073.15,2880
ENSG00000131503.21,7629
ENSG00000254996.5,7854
ENSG00000243056.2,303
ENSG00000213523.10,711
ENSG00000113108.19,1461
ENSG00000176087.15,975
ENSG00000170458.14,1128
ENSG00000113119.12,1482
ENSG00000131495.9,300
ENSG00000120314.18,1152
ENSG00000256453.2,1062
ENSG00000170445.15,1530
ENSG00000112855.17,1521
ENSG00000146007.11,600
ENSG00000204970.10,2853
ENSG00000204969.7,2847
ENSG00000255408.4,2853
ENSG00000204967.12,2844
ENSG00000204965.9,2811
ENSG00000081842.18,2853
ENSG00000204963.6,2814
ENSG00000204962.6,2853
ENSG00000204961.7,2853
ENSG00000250120.8,2847
ENSG00000249158.7,2850
ENSG00000251664.5,2826
ENSG00000239389.8,2853
ENSG00000248383.4,2892
ENSG00000243232.6,3024
ENSG00000171815.6,2457
ENSG00000112852.7,2397
ENSG00000113205.5,2391
ENSG00000081818.4,2388
ENSG00000113209.9,2388
ENSG00000113211.5,2385
ENSG00000113212.7,2382
ENSG00000120322.4,2406
ENSG00000272674.3,2331
ENSG00000177839.7,2394
ENSG00000120324.9,2403
ENSG00000197479.7,2394
ENSG00000120328.6,2388
ENSG00000187372.11,2397
ENSG00000120327.6,2397
ENSG00000279983.1,108
ENSG00000113248.6,2364
ENSG00000120329.7,906
ENSG00000178913.8,1050
ENSG00000204956.5,2796
ENSG00000081853.15,2799
ENSG00000254245.3,2799
ENSG00000254221.2,2784
ENSG00000262576.3,2889
ENSG00000253910.2,2796
ENSG00000253485.2,2796
ENSG00000262209.3,2790
ENSG00000253731.3,2799
ENSG00000253537.3,2799
ENSG00000253953.2,2772
ENSG00000253767.2,2799
ENSG00000276547.1,2772
ENSG00000261934.2,2799
ENSG00000253305.2,2793
ENSG00000253846.2,2811
ENSG00000254122.3,2790
ENSG00000253873.6,2808
ENSG00000253159.3,2799
ENSG00000240184.7,2805
ENSG00000242419.5,2817
ENSG00000240764.4,2835
ENSG00000171720.10,1287
ENSG00000164620.9,912
ENSG00000197948.11,2073
ENSG00000120318.16,4635
ENSG00000156453.13,3714
ENSG00000081791.9,1548
ENSG00000113555.5,3555
ENSG00000013561.18,1425
ENSG00000113552.16,870
ENSG00000131507.11,666
ENSG00000187678.9,900
ENSG00000113578.18,468
ENSG00000145819.18,2445
ENSG00000113580.15,2334
ENSG00000158497.4,126
ENSG00000145817.17,774
ENSG00000183775.11,1287
ENSG00000186314.11,534
ENSG00000204928.2,747
ENSG00000156463.18,2190
ENSG00000173261.9,534
ENSG00000133706.19,3531
ENSG00000275740.1,3084
ENSG00000091009.8,3183
ENSG00000091010.6,1017
ENSG00000113649.11,3297
ENSG00000173250.2,1260
ENSG00000156475.18,1341
ENSG00000169302.16,1191
ENSG00000113657.13,1713
ENSG00000176049.16,2433
ENSG00000164266.10,240
ENSG00000164265.9,282
ENSG00000178776.5,264
ENSG00000133710.16,3195
ENSG00000196800.6,294
ENSG00000178172.7,243
ENSG00000248109.3,858
ENSG00000214510.10,285
ENSG00000145879.11,258
ENSG00000204909.8,261
ENSG00000145868.17,3567
ENSG00000164270.18,1167
ENSG00000169252.5,1242
ENSG00000169247.13,3867
ENSG00000173210.19,2052
ENSG00000157510.14,2307
ENSG00000164284.15,678
ENSG00000145882.11,1485
ENSG00000127743.6,543
ENSG00000113712.18,1098
ENSG00000183111.12,2028
ENSG00000155846.17,3072
ENSG00000132915.11,2583
ENSG00000155850.8,2220
ENSG00000164296.7,1566
ENSG00000113716.13,3879
ENSG00000182578.13,2919
ENSG00000113721.14,3321
ENSG00000113722.17,798
ENSG00000011083.9,1911
ENSG00000070808.16,1470
ENSG00000183876.9,1710
ENSG00000070814.22,4236
ENSG00000019582.15,891
ENSG00000164587.13,456
ENSG00000070614.15,2649
ENSG00000171992.13,2712
ENSG00000164591.13,756
ENSG00000086589.12,1263
ENSG00000132912.12,1383
ENSG00000256235.2,183
ENSG00000237693.4,546
ENSG00000145908.12,1815
ENSG00000211445.12,681
ENSG00000145901.15,1911
ENSG00000197043.14,2022
ENSG00000198624.13,891
ENSG00000196743.9,582
ENSG00000186334.9,1413
ENSG00000186335.9,1452
ENSG00000123643.13,1431
ENSG00000086570.12,13050
ENSG00000113140.11,912
ENSG00000177556.12,207
ENSG00000145907.15,1401
ENSG00000145888.11,1350
ENSG00000132911.5,1248
ENSG00000155511.18,2721
ENSG00000055147.19,1518
ENSG00000037749.12,1089
ENSG00000164574.16,1812
ENSG00000164576.12,552
ENSG00000113196.3,648
ENSG00000155506.17,3060
ENSG00000170271.11,1002
ENSG00000155508.13,879
ENSG00000082516.9,4527
ENSG00000082515.18,621
ENSG00000226650.6,3705
ENSG00000170624.13,873
ENSG00000231989.5,618
ENSG00000145850.9,1137
ENSG00000113249.13,1095
ENSG00000135077.9,906
ENSG00000155868.8,702
ENSG00000170613.4,1818
ENSG00000113263.13,1863
ENSG00000055163.20,3762
ENSG00000285868.1,675
ENSG00000172568.5,675
ENSG00000172548.14,1401
ENSG00000135074.16,2757
ENSG00000039600.11,2262
ENSG00000187658.7,480
ENSG00000113272.14,897
ENSG00000155858.6,1083
ENSG00000113282.13,1878
ENSG00000164330.17,1776
ENSG00000145860.11,2076
ENSG00000164332.8,957
ENSG00000113302.5,987
ENSG00000170214.5,1563
ENSG00000113312.11,879
ENSG00000170234.13,2268
ENSG00000170231.16,387
ENSG00000135083.15,1164
ENSG00000145861.9,993
ENSG00000221886.4,1785
ENSG00000164609.10,1761
ENSG00000164611.13,609
ENSG00000118322.14,4386
ENSG00000145864.13,1539
ENSG00000145863.11,1362
ENSG00000022355.18,1371
ENSG00000113327.16,1428
ENSG00000113328.19,888
ENSG00000170584.11,474
ENSG00000072571.20,2175
ENSG00000038274.17,1005
ENSG00000113645.14,3342
ENSG00000113643.9,1983
ENSG00000188573.8,1005
ENSG00000120137.7,1113
ENSG00000184347.15,4572
ENSG00000040275.17,1818
ENSG00000134516.18,5493
ENSG00000204767.4,1608
ENSG00000168269.10,1137
ENSG00000234511.10,246
ENSG00000043462.12,1602
ENSG00000145936.9,576
ENSG00000182132.13,651
ENSG00000094755.17,1323
ENSG00000204764.14,3267
ENSG00000164438.6,876
ENSG00000181163.13,885
ENSG00000156427.8,624
ENSG00000185662.10,519
ENSG00000072803.17,1629
ENSG00000072786.13,2907
ENSG00000214360.5,594
ENSG00000168246.6,705
ENSG00000174705.13,2736
ENSG00000214357.9,1668
ENSG00000120129.6,1104
ENSG00000113719.16,873
ENSG00000037241.7,438
ENSG00000113732.9,246
ENSG00000164463.12,1920
ENSG00000113734.17,687
ENSG00000183072.10,975
ENSG00000113739.10,909
ENSG00000145919.11,558
ENSG00000113742.14,2190
ENSG00000185056.10,531
ENSG00000170091.11,516
ENSG00000120149.9,804
ENSG00000184845.4,1341
ENSG00000164466.13,969
ENSG00000113749.7,1269
ENSG00000145920.15,405
ENSG00000051596.10,1056
ENSG00000182230.12,933
ENSG00000285476.1,933
ENSG00000170085.18,1374
ENSG00000122203.15,918
ENSG00000175414.7,735
ENSG00000048162.21,537
ENSG00000146066.3,321
ENSG00000175416.15,690
ENSG00000113194.13,1338
ENSG00000146083.12,1299
ENSG00000074276.10,3933
ENSG00000169258.7,3027
ENSG00000074317.11,405
ENSG00000175766.13,729
ENSG00000048140.18,999
ENSG00000113763.12,2529
ENSG00000160883.11,2772
ENSG00000087206.17,2160
ENSG00000113761.12,885
ENSG00000160867.15,2409
ENSG00000165671.20,8091
ENSG00000169228.14,612
ENSG00000169230.10,660
ENSG00000213347.10,621
ENSG00000169223.15,1071
ENSG00000169220.18,1701
ENSG00000131183.11,1920
ENSG00000196570.3,414
ENSG00000131187.9,1848
ENSG00000198055.11,1731
ENSG00000131188.12,825
ENSG00000113758.13,1956
ENSG00000196923.14,1374
ENSG00000146094.14,1491
ENSG00000183258.12,1869
ENSG00000184840.12,708
ENSG00000027847.14,984
ENSG00000170074.19,1164
