hgnc_symbol,Gene Length BP
PPIB,651
,336
PCLAF,336
TRIP4,1746
ZNF609,4236
OAZ2,570
RBPMS2,630
PIF1,1926
PLEKHO2,1473
ANKDD1A,1569
SPG21,927
MTFMT,1170
SLC51B,387
RASL12,801
KBTBD13,1377
UBAP1L,1146
PDCD7,1458
CLPX,1902
CILP,3555
PARP16,972
IGDCC3,2445
IGDCC4,3753
DPP8,2697
HACD3,1089
INTS14,1557
SLC24A1,3300
DENND4A,5592
RAB11A,651
MEGF11,3135
DIS3L,3165
TIPIN,906
MAP2K1,1182
SNAPC5,297
RPL4,1284
ZWILCH,1776
LCTL,1704
SMAD6,1491
SMAD3,1278
AAGAB,948
IQCH,507
C15orf61,474
MAP2K5,1347
SKOR1,2607
PIAS1,1956
,279
CALML4,591
CLN6,936
FEM1B,1884
ITGA11,3567
CORO2B,1443
ANP32A,750
SPESP1,1053
NOX5,2214
GLCE,1854
PAQR5,993
KIF23,2883
RPLP1,345
TLE3,2319
UACA,4251
LARP6,1476
THAP10,774
LRRC49,2061
CT62,411
THSD4,1977
NR2E3,1233
MYO9A,7647
SENP8,639
GRAMD2A,1065
PKM,1596
PARP6,1893
,1446
CELF6,1446
,684
HEXA,1590
ARIH1,1674
GOLGA6B,2082
HIGD2B,321
BBS4,1560
ADPGK,1491
NEO1,4386
HCN4,3612
REC114,801
NPTN,1197
CD276,1605
INSYN1,882
TBC1D21,1011
LOXL1,1725
STOML1,1197
PML,2649
GOLGA6A,2082
ISLR2,2238
ISLR,1287
STRA6,2004
CCDC33,2268
CYP11A1,1566
SEMA7A,2001
UBL7,1143
ARID3B,1683
CLK3,1473
EDC3,1527
CYP1A1,1539
CYP1A2,1551
CSK,1353
LMAN1L,1581
CPLX3,477
ULK3,1419
SCAMP2,990
MPI,1272
FAM219B,597
COX5A,453
RPP25,600
SCAMP5,708
PPCDC,615
C15orf39,3144
GOLGA6C,2082
GOLGA6D,2082
COMMD4,600
NEIL1,1173
MAN2C1,3123
SIN3A,3822
PTPN9,1782
SNUPN,1083
IMP3,555
SNX33,1725
CSPG4,6969
ODF3L1,825
UBE2Q2,1128
FBXO22,1212
NRG4,348
TMEM266,1596
ETFA,1002
ISL2,1080
SCAPER,4203
RCN2,954
PSTPIP1,1251
TSPAN3,762
PEAK1,5241
HMG20A,1044
LINGO1,1863
TBC1D2B,2745
SH2D7,1356
CIB2,564
IDH3A,1101
ACSBG1,2175
DNAJA4,1281
SKIC8,918
CRABP1,414
IREB2,2892
HYKK,1122
PSMA4,786
CHRNA5,1407
CHRNA3,1518
CHRNB4,1497
ADAMTS7,5061
MORF4L1,1089
CTSH,1008
RASGRF1,3774
ANKRD34C,1608
TMED3,654
MINAR1,2751
MTHFS,612
ST20-MTHFS,540
ST20,240
BCL2A1,528
ZFAND6,627
FAH,1260
CTXND1,180
ARNT2,2154
ABHD17C,990
CEMIP,4086
MESD,705
TLNRD1,1089
CFAP161,906
IL16,3999
STARD5,642
TMC3,3303
MEX3B,1710
EFL1,3363
SAXO2,1197
GOLGA6L10,1569
GOLGA6L9,1299
RPS17,408
,1755
CPEB1,1476
AP3B2,3249
FSD2,2250
WHAMM,2430
HOMER2,1065
RAMAC,357
C15orf40,462
BTBD1,1449
TM6SF1,1113
HDGFL3,612
BNC1,2985
SH3GL3,1044
ADAMTSL3,5076
UBE2Q2P16,396
GOLGA6L4,1725
ZSCAN2,1845
WDR73,1137
NMB,366
SEC11A,540
ZNF592,3804
ALPK3,5724
SLC28A1,1950
PDE8A,2490
AKAP13,8454
KLHL25,1770
NTRK3,2478
MRPL46,840
,1653
MRPS11,585
DET1,1653
AEN,978
ISG20,546
ACAN,7707
HAPLN3,1083
MFGE8,1164
ABHD2,1278
RLBP1,954
FANCI,3807
POLG,3720
RHCG,1440
TICRR,5733
KIF7,4032
PLIN1,1569
PEX11A,744
WDR93,2061
MESP1,807
MESP2,1194
ANPEP,2904
AP3S2,582
ARPIN-AP3S2,1185
ARPIN,681
ZNF710,1995
IDH2,1359
SEMA4B,2514
CIB1,576
GDPGP1,1158
,852
TTLL13,2448
,654
NGRN,876
ZNF774,1452
IQGAP1,4974
BLM,4254
FURIN,2385
FES,2469
MAN2A2,3453
HDDC3,540
UNC45A,2835
RCCD1,1131
PRC1,1863
,1800
VPS33B,1854
SV2B,2052
SLCO3A1,2133
ST8SIA2,1128
FAM174B,480
CHD2,5487
RGMA,1353
MCTP2,2637
NR2F2,1245
ARRDC4,1257
IGF1R,4104
PGPEP1L,591
SYNM,4698
TTC23,1344
LRRC28,1104
MEF2A,1500
LYSMD4,894
ADAMTS17,3288
CERS3,1152
LINS1,2274
ASB7,957
ALDH1A3,1539
CHSY1,2409
SELENOS,570
SNRPA1,768
PCSK6,2910
TM2D3,666
TARS3,2409
OR4F6,939
OR4F15,939
OR4F4,918
OR4F5,918
OR4F29,939
OR4F16,939
SAMD11,2046
NOC2L,2250
KLHL17,1929
PLEKHN1,1836
PERM1,2373
HES4,666
ISG15,498
AGRN,6138
RNF223,750
C1orf159,597
TTLL10,2022
TNFRSF18,768
TNFRSF4,834
SDF4,1047
B3GALT6,990
C1QTNF12,909
UBE2J2,780
ACAP3,2505
PUSL1,912
INTS11,1803
CPTP,645
TAS1R3,2559
DVL1,2013
MXRA8,1329
AURKAIP1,600
CCNL2,1563
MRPL20,450
ANKRD65,1200
VWA1,1338
ATAD3C,1236
ATAD3B,1947
ATAD3A,1905
TMEM240,522
SSU72,585
FNDC10,681
MIB2,3213
MMP23B,1173
CDK11B,2388
SLC35E2B,1218
CDK11A,2343
SLC35E2A,801
NADK,1341
GNB1,1023
TMEM52,630
GABRD,1359
FAAP20,543
SKI,2187
MORN1,1494
RER1,591
PEX10,981
PLCH2,4251
PANK4,2322
HES5,501
TNFRSF14,852
PRXL2B,597
MMEL1,2340
TTC34,1701
ACTRT2,1134
PRDM16,3831
ARHGEF16,2130
MEGF6,4626
TPRG1L,819
WRAP73,1383
TP73,1911
CCDC27,1971
SMIM1,237
LRRC47,1752
CEP104,2778
DFFB,1017
C1orf174,732
AJAP1,1236
NPHP4,4281
KCNAB2,1104
CHD5,5865
,162
RPL22,387
RNF207,1905
ICMT,855
HES3,561
GPR153,1830
ACOT7,1143
HES2,522
ESPN,2565
TNFRSF25,1281
PLEKHG5,3021
NOL9,2109
TAS1R1,2526
ZBTB48,2067
KLHL21,1794
PHF13,903
THAP3,528
DNAJC11,1680
CAMTA1,5022
VAMP3,303
PER3,3606
UTS2,420
TNFRSF9,768
PARK7,570
ERRFI1,1389
SLC45A1,2349
RERE,4701
ENO1,1305
CA6,927
SLC2A7,1539
SLC2A5,1506
GPR157,1008
H6PD,2376
SPSB1,822
SLC25A33,966
TMEM201,1179
PIK3CD,3135
CLSTN1,2916
CTNNBIP1,246
LZIC,573
NMNAT1,840
RBP7,405
UBE4B,3522
KIF1B,5451
PGD,1452
CENPS-CORT,495
CENPS,417
CORT,318
DFFA,996
PEX14,1134
CASZ1,5280
C1orf127,2472
TARDBP,1245
MASP2,2061
SRM,909
EXOSC10,2658
MTOR,7650
ANGPTL7,1041
UBIAD1,1017
DISP3,4179
FBXO2,891
FBXO44,768
FBXO6,882
MAD2L2,636
DRAXIN,1050
AGTRAP,480
C1orf167,4407
MTHFR,1971
CLCN6,2610
NPPA,456
NPPB,405
KIAA2013,1905
PLOD1,2184
MFN2,2274
MIIP,1167
TNFRSF8,1788
TNFRSF1B,1386
VPS13D,13167
DHRS3,909
AADACL4,1224
AADACL3,1224
CFAP107,585
PRAMEF12,1452
PRAMEF1,1425
PRAMEF11,1437
HNRNPCL1,882
PRAMEF2,1425
PRAMEF4,1437
PRAMEF10,1425
PRAMEF7,1425
PRAMEF6,1431
PRAMEF27,1437
HNRNPCL3,882
PRAMEF25,1437
HNRNPCL2,882
PRAMEF26,1437
HNRNPCL4,882
PRAMEF9,1437
PRAMEF13,1425
PRAMEF18,1440
PRAMEF5,1431
PRAMEF8,1425
PRAMEF33,1425
PRAMEF15,1437
PRAMEF14,1425
PRAMEF19,1440
PRAMEF17,1425
PRAMEF20,1428
LRRC38,885
PDPN,717
PRDM2,5157
KAZN,2328
TMEM51,762
FHAD1,4239
EFHD2,723
CTRC,807
CELA2A,810
CELA2B,810
CASP9,1251
DNAJC16,2349
AGMAT,1059
DDI2,1200
RSC1A1,1854
PLEKHM2,3060
SLC25A34,915
TMEM82,1032
FBLIM1,1122
UQCRHL,276
SPEN,10995
ZBTB17,2412
SRARP,510
HSPB7,513
CLCNKA,2064
CLCNKB,2064
FAM131C,843
EPHA2,2931
ARHGEF19,2409
CPLANE2,777
FBXO42,2154
SZRD1,459
SPATA21,1410
NECAP2,792
NBPF1,3420
CROCC,6054
MFAP2,552
ATP13A2,3543
SDHB,843
PADI2,1998
PADI1,1992
PADI3,1995
PADI4,1992
PADI6,2085
RCC2,1569
ARHGEF10L,3840
ACTL8,1101
IGSF21,1404
KLHDC7A,2334
PAX7,1518
TAS1R2,2520
ALDH4A1,1692
IFFO2,1554
UBR4,15552
EMC1,2982
MRTO4,720
AKR7A3,996
AKR7A2,1080
SLC66A1,876
CAPZB,819
MICOS10,237
NBL1,546
HTR6,1323
TMCO4,1905
RNF186,684
OTUD3,1197
PLA2G2E,429
PLA2G2A,435
PLA2G5,417
PLA2G2D,438
PLA2G2F,636
PLA2G2C,453
UBXN10,843
CAMK2N1,237
MUL1,1059
FAM43B,990
CDA,441
PINK1,1746
DDOST,1371
KIF17,3090
SH2D5,1272
HP1BP3,1662
EIF4G3,4758
ECE1,2313
NBPF3,1902
ALPL,1575
RAP1GAP,1992
USP48,3108
LDLRAD2,819
HSPG2,13176
CELA3B,813
CELA3A,813
CDC42,576
WNT4,1056
ZBTB40,3720
EPHA8,3018
C1QA,738
C1QC,738
C1QB,762
EPHB2,2964
LACTBL1,1641
TEX46,366
KDM1A,2559
LUZP1,3231
HTR1D,1134
HNRNPR,1902
ZNF436,1413
ASAP3,2712
E2F2,1314
ID3,360
RPL11,537
ELOA,2397
PITHD1,636
LYPLA2,696
GALE,1047
HMGCL,978
FUCA1,1401
CNR2,1083
PNRC2,420
MYOM3,4314
IL22RA1,1725
IFNLR1,1563
GRHL3,1809
STPG1,864
NIPAL3,1221
RCAN3,726
NCMAP,309
SRRM1,2715
CLIC4,762
RUNX3,1248
SYF2,732
RSRP1,873
RHD,1254
TMEM50A,474
RHCE,1254
MACO1,1995
LDLRAP1,927
MAN1C1,1893
SELENON,1773
MTFR1L,879
AUNIP,1074
PAQR7,1041
STMN1,450
PAFAH2,1179
EXTL1,2031
SLC30A2,1119
TRIM63,1062
PDIK1L,1026
FAM110D,816
C1orf232,561
ZNF593,405
ZNF593OS,192
CNKSR1,2142
CATSPER4,1419
CEP85,2289
SH3BGRL3,282
UBXN11,1563
CD52,186
CRYBG2,5958
ZNF683,1515
LIN28A,630
DHDDS,1005
HMGN2,273
RPS6KA1,2208
ARID1A,6858
PIGV,1482
ZDHHC18,1167
SFN,747
GPN2,933
GPATCH3,1578
NR0B2,774
NUDC,996
KDF1,1197
TRNP1,684
TENT5B,1278
SLC9A1,2448
WDTC1,2031
TMEM222,627
SYTL1,1653
MAP3K6,3867
FCN3,900
CD164L2,522
GPR3,993
WASF2,1497
AHDC1,4812
FGR,1590
IFI6,417
FAM76A,924
STX12,831
PPP1R8,1056
THEMIS2,1932
RPA2,813
SMPDL3B,1368
XKR8,1188
EYA3,1722
PTAFR,1029
DNAJC8,762
ATP5IF1,321
SESN2,1443
MED18,627
PHACTR4,2139
RCC1,1266
TRNAU1AP,864
RAB42,657
TAF12,486
GMEB1,1722
YTHDF2,1740
OPRD1,1119
EPB41,1926
TMEM200B,924
SRSF4,1485
MECR,894
PTPRU,4341
MATN1,1491
LAPTM5,789
SDC3,1329
PUM1,3561
NKAIN1,624
SNRNP40,1074
ZCCHC17,726
FABP3,402
SERINC2,1368
TINAGL1,1404
HCRTR1,1278
PEF1,855
COL16A1,4815
ADGRB2,4755
SPOCD1,3651
PTP4A2,504
KHDRBS1,1332
TMEM39B,1479
KPNA6,1611
TXLNA,1641
CCDC28B,603
IQCC,1401
DCDC2B,1050
TMEM234,423
EIF3I,978
FAM167B,492
LCK,1530
HDAC1,1449
MARCKSL1,588
FAM229A,384
TSSK3,807
BSDC1,1293
,1539
ZBTB8B,1488
ZBTB8A,1326
ZBTB8OS,540
RBBP4,1278
SYNC,1449
KIAA1522,3285
YARS1,1587
S100PBP,1227
FNDC5,462
HPCA,582
TMEM54,669
RNF19B,2199
AK2,720
AZIN2,1383
TRIM62,1428
ZNF362,1263
PHC2,2577
ZSCAN20,3132
CSMD2,10464
HMGB4,561
C1orf94,1227
GJB5,822
GJB4,801
SMIM12,279
DLGAP3,2940
,168
,2172
TMEM35B,465
ZMYM6,3978
ZMYM1,3429
SFPQ,2124
ZMYM4,4647
KIAA0319L,3150
NCDN,2190
TFAP2E,1329
PSMB2,606
C1orf216,690
CLSPN,4020
AGO4,2586
AGO1,2574
AGO3,2583
TEKT2,1293
ADPRS,1092
COL8A2,2112
TRAPPC3,543
MAP7D1,2427
THRAP3,2868
EVA1B,498
STK40,1308
LSM10,372
OSCP1,1140
MRPS15,774
CSF3R,2592
GRIK3,2760
ZC3H12A,1800
MEAF6,606
SNIP1,1191
DNALI1,843
GNL2,2196
RSPO1,792
C1orf109,612
CDCA8,843
MANEAL,1374
YRDC,840
C1orf122,333
MTF1,2262
INPP5B,2742
SF3A3,1506
FHL3,843
UTP11,762
POU3F1,1356
RRAGC,1200
MYCBP,312
,333
GJA9,1548
RHBDL2,912
AKIRIN1,579
NDUFS5,321
MACF1,22779
BMP8A,1209
PABPC4,1935
HEYL,987
NT5C1A,1107
HPCAL4,576
PPIE,906
BMP8B,1209
OXCT2,1554
MYCL,1095
MFSD2A,1593
PPT1,921
RLF,5745
TMCO2,549
ZMPSTE24,1428
COL9A2,2070
ZFP69B,1605
ZNF684,1137
NFYC,1008
KCNQ4,2088
CITED4,555
CTPS1,1776
SLFNL1,1224
SCMH1,1776
FOXO6,1476
EDN2,537
HIVEP3,7221
,81
GUCA2B,339
GUCA2A,348
FOXJ3,1869
RIMKLA,1176
ZMYND12,1098
PPCS,936
CCDC30,2352
PPIH,534
YBX1,975
CLDN19,675
P3H1,2211
C1orf50,600
,330
TMEM269,738
SVBP,201
ERMAP,1428
ZNF691,855
SLC2A1,1479
FAM183A,405
EBNA1BP2,921
CFAP57,3852
TMEM125,660
C1orf210,342
TIE1,3417
MPL,1908
CDC20,1500
ELOVL1,840
MED8,807
SZT2,10128
HYI,834
PTPRF,5724
KDM4A,3195
,651
ST3GAL3,1128
ARTN,687
IPO13,2892
DPH2,1470
ATP6V0B,618
B4GALT2,1119
CCDC24,924
SLC6A9,1902
KLF17,1170
KLF18,3159
DMAP1,1404
ERI3,1014
RNF220,1701
TMEM53,834
ARMH1,1323
KIF2C,2178
RPS8,627
BEST4,1422
PLK3,1941
DYNLT4,666
BTBD19,876
PTCH2,3612
EIF2B3,1359
HECTD3,2586
UROD,1104
ZSWIM5,3558
HPDL,1116
MUTYH,1641
,2025
TOE1,1533
TESK2,1716
CCDC163,357
MMACHC,849
PRDX1,600
AKR1A1,978
NASP,1350
CCDC17,1869
GPBP1L1,1425
TMEM69,744
MAST2,5397
PIK3R3,1386
P3R3URF-PIK3R3,1524
TSPAN1,726
P3R3URF,288
POMGNT1,1983
LURAP1,720
RAD54L,2244
LRRC41,2439
UQCRH,276
NSUN4,1155
FAAH,1740
DMBX1,1134
MKNK1,1239
MOB3C,651
ATPAF1,1056
TEX38,621
EFCAB14,1488
CYP4B1,1536
CYP4A11,1560
CYP4X1,1530
CYP4Z1,1518
CYP4A22,1560
PDZK1IP1,345
TAL1,996
STIL,3864
CMPK1,687
FOXE3,960
FOXD2,1488
TRABD2B,1554
SLC5A9,2046
SPATA6,1467
AGBL4,1512
BEND5,1266
ELAVL4,1143
DMRTA2,1629
FAF1,1953
CDKN2C,507
C1orf185,600
RNF11,465
TTC39A,1746
EPS15,2691
OSBPL9,2211
NRDC,3660
RAB3B,660
TXNDC12,519
KTI12,1065
BTF3L4,477
ZFYVE9,4278
CC2D1B,2577
ORC1,2586
PRPF38A,939
TUT4,4938
GPX7,564
SHISAL2A,573
COA7,696
ZYG11B,2235
ZYG11A,2280
ECHDC2,879
SCP2,1644
PODN,1986
SLC1A7,1683
CPT2,1977
CZIB,483
MAGOH,441
LRP8,2892
DMRTB1,1029
GLIS1,1863
NDC1,2025
YIPF1,921
DIO1,750
HSPB11,435
LRRC42,1287
LDLRAD1,618
TMEM59,972
TCEANC2,627
,309
CDCP2,1350
MRPL37,1272
SSBP3,1167
ACOT11,1824
FAM151A,1758
MROH7,3972
MROH7-TTC4,4005
TTC4,1164
PARS2,1428
TTC22,1119
LEXM,1245
DHCR24,1551
TMEM61,633
BSND,963
PCSK9,2079
USP24,7863
PLPP3,936
PRKAA2,1659
FYB2,2187
C8A,1755
C8B,1776
DAB1,1668
OMA1,1575
TACSTD2,972
MYSM1,2487
JUN,996
FGGY,1656
HOOK1,2187
CYP2J2,1509
C1orf87,1641
NFIA,1497
PATJ,5649
L1TD1,2598
KANK4,2988
USP1,2358
DOCK7,6330
ANGPTL3,1383
ATG4C,1377
FOXD3,1437
ALG6,1524
ITGB3BP,534
EFCAB7,1890
PGM1,1689
ROR1,2814
UBE2U,681
CACHD1,3825
RAVER2,2037
JAK1,3465
AK4,672
DNAJC6,2742
LEPROT,396
LEPR,3498
PDE4B,2211
SGIP1,2487
DYNLT5,540
INSL5,408
DNAI4,2547
MIER1,1539
SLC35D1,1068
C1orf141,1203
IL23R,1890
IL12RB2,2589
SERBP1,1164
GADD45A,498
GNG12,219
DIRAS3,690
WLS,1626
RPE65,1602
DEPDC1,1584
LRRC7,4488
LRRC40,1809
SRSF11,1455
ANKRD13C,1626
HHLA3,231
CTH,1218
PTGER3,1257
ZRANB2,993
NEGR1,1065
LRRIQ3,1875
FPGT,1824
FPGT-TNNI3K,2850
TNNI3K,2508
ERICH3,4593
CRYZ,990
TYW3,780
LHX8,1041
SLC44A5,2160
ACADM,1266
RABGGTB,996
MSH4,2811
ASB17,888
ST6GALNAC3,918
ST6GALNAC5,1011
PIGK,1188
AK5,1689
ZZZ3,2712
USP33,2736
NEXN,2028
FUBP1,1935
DNAJB4,1014
GIPC2,948
PTGFR,1080
IFI44L,1359
IFI44,1335
ADGRL4,2073
TTLL7,2664
PRKACB,1197
SAMD13,309
DNASE2B,1086
RPF1,1050
GNG5,207
SPATA1,1314
CTBS,1158
SSX2IP,1845
LPAR3,1062
MCOLN2,1617
MCOLN3,1662
DNAI3,2676
SYDE2,3585
C1orf52,549
BCL10,702
DDAH1,858
CCN1,1146
ZNHIT6,1413
COL24A1,5145
ODF2L,1863
CLCA2,2832
CLCA1,2745
CLCA4,2760
SH3GLB1,1098
SELENOF,498
HS2ST1,1071
,912
LMO4,498
PKN2,2955
GTF2B,951
KYAT3,1365
RBMXL1,1173
GBP3,1788
GBP1,1779
GBP7,1917
GBP4,1923
GBP5,1761
GBP6,1902
LRRC8B,2412
LRRC8C,2412
,159
LRRC8D,2577
ZNF326,1749
BARHL2,1164
ZNF644,3984
HFM1,4308
CDC7,1725
TGFBR3,2556
BRDT,2844
EPHX4,1089
SETSIP,909
BTBD8,5379
C1orf146,543
GLMN,1785
RPAP2,1839
GFI1,1269
EVI5,2433
RPL5,894
DIPK1A,1287
MTF2,1782
TMED5,690
CCDC18,3900
DR1,531
FNBP1L,1818
BCAR3,2478
DNTTIP2,2271
GCLM,825
ABCA4,6822
ARHGAP29,3786
ABCD3,1980
F3,888
SLC44A3,1818
CNN3,990
ALG14,651
TLCD4,792
TLCD4-RWDD3,606
RWDD3,804
PTBP2,1596
DPYD,3078
SNX7,1356
PLPPR5,966
PLPPR4,2292
PALMD,1656
AGL,4599
SLC35A3,978
,2142
MFSD14A,1473
SASS6,1974
TRMT13,1446
LRRC39,1008
DBT,1449
RTCA,1101
CDC14A,1872
GPR88,1155
VCAM1,2220
EXTL2,993
SLC30A7,1131
DPH5,858
S1PR1,1149
OLFM3,1377
COL11A1,5421
RNPC3,1554
AMY2B,1536
AMY2A,1536
AMY1A,1536
AMY1B,1536
AMY1C,1536
PRMT6,1128
NTNG1,1620
VAV3,2544
SLC25A24,1434
NBPF4,1917
NBPF6,1917
FAM102B,1083
HENMT1,1182
PRPF38B,573
STXBP3,1779
AKNAD1,2511
GPSM2,2055
CLCC1,1506
WDR47,2763
TAF13,375
TMEM167B,225
CFAP276,474
ELAPOR1,3042
SARS1,1545
CELSR2,8772
PSRC1,1002
MYBPHL,1065
SORT1,2496
PSMA5,726
SYPL2,819
ATXN7L2,2169
CYB561D1,690
AMIGO1,1482
GPR61,1356
GNAI3,1065
GNAT2,1065
AMPD2,2478
GSTM4,657
GSTM2,657
GSTM1,657
GSTM5,657
GSTM3,678
EPS8L3,1785
CSF1,1665
AHCYL1,1593
STRIP1,2514
ALX3,1032
UBL4B,525
SLC6A17,2184
KCNC4,1881
RBM15,2934
SLC16A4,1464
LAMTOR5,522
PROK1,318
KCNA10,1536
KCNA3,1728
CD53,660
LRIF1,2310
DRAM2,801
CEPT1,1251
DENND2D,1407
CHI3L2,1173
CHIA,1431
PIFO,576
OVGP1,2037
WDR77,1029
ATP5PB,771
C1orf162,468
TMIGD3,1044
ADORA3,957
RAP1A,555
INKA2,894
DDX20,2475
KCND3,1968
CTTNBP2NL,1920
WNT2B,1176
ST7L,1728
CAPZA1,861
MOV10,3012
RHOC,582
PPM1J,1518
TAFA3,402
SLC16A1,1503
LRIG2,3198
MAGI3,3378
PHTF1,2289
RSBN1,2409
PTPN22,2424
BCL2L15,492
AP4B1,2220
DCLRE1B,1599
HIPK1,3633
OLFML3,1221
SYT6,1278
TRIM33,3384
BCAS2,678
DENND2C,2616
AMPD1,2343
NRAS,570
CSDE1,2397
SIKE1,624
SYCP1,2931
TSHB,417
TSPAN2,666
NGF,726
VANGL1,1575
CASQ2,1200
NHLH2,408
SLC22A15,1644
MAB21L3,1089
ATP1A1,3072
CD58,753
IGSF3,3645
CD2,1056
PTGFRN,2640
CD101,3066
TTF2,3489
TRIM45,1743
VTCN1,849
MAN1A2,1926
TENT5C,1176
GDAP2,1494
WDR3,2832
SPAG17,6672
TBX15,1491
WARS2,1083
HAO2,1056
HSD3B2,1119
HSD3B1,1122
ZNF697,1638
PHGDH,1602
HMGCS2,1527
REG4,477
ADAM30,2373
NOTCH2,7416
SEC22B,648
NOTCH2NLR,825
NBPF26,4347
PPIAL4A,495
FCGR1BP,675
FAM72B,450
SRGAP2C,1380
H3-7,411
FAM72C,450
PPIAL4E,495
NBPF15,2013
PPIAL4F,495
SRGAP2B,1380
FAM72D,450
NBPF20,15624
GPR89A,1368
PDZK1,1560
CD160,546
RNF115,915
POLR3C,1605
NUDT17,987
PIAS3,1887
ANKRD35,3006
ITGA10,3504
PEX11B,780
RBM8A,525
LIX1L,1014
ANKRD34A,1491
POLR3GL,657
TXNIP,1176
HJV,1281
NBPF10,11388
NOTCH2NLA,711
PPIAL4H,495
NBPF12,4374
PRKAB2,819
FMO5,1602
CHD1L,2694
BCL9,4281
ACP6,1287
GJA5,1077
GJA8,1302
GPR89B,1368
NBPF11,2598
PPIAL4G,495
NOTCH2NLB,750
NUDT4B,546
PDE4DIP,7089
NBPF9,3336
,11532
NOTCH2NLC,711
NBPF19,11532
FCGR1A,1125
H2BC18,381
H3C13,411
H4C14,312
H3C14,411
H3C15,411
H4C15,312
H2BC21,381
H2AC20,390
H2AC21,393
BOLA1,414
SV2A,2229
SF3B4,1275
MTMR11,2130
OTUD7B,2532
VPS45,1713
PLEKHO1,1230
ANP32E,807
CA14,1014
APH1A,798
C1orf54,396
CIART,1158
MRPS21,264
PRPF3,2052
RPRD2,4386
TARS2,2157
ECM1,1623
ADAMTSL4,3225
MCL1,1053
ENSA,366
GOLPH3L,858
HORMAD1,1185
CTSS,996
CTSK,990
ARNT,2370
CTXND2,168
SETDB1,3873
CERS2,1143
ANXA9,1038
MINDY1,1410
PRUNE1,1362
BNIPL,1074
C1orf56,1026
CDC42SE1,240
MLLT11,273
GABPB2,1347
TNFAIP8L2,555
LYSMD1,684
SCNM1,693
PSMD4,1134
PI4KB,2406
RFX5,1851
SELENBP1,1419
POGZ,4233
CGN,3612
TUFT1,1173
CELF3,1398
RIIAD1,279
MRPL9,804
OAZ3,708
TDRKH,1686
LINGO4,1782
RORC,1557
C2CD4D,1062
THEM5,744
THEM4,723
S100A10,294
S100A11,318
TCHHL1,2715
TCHH,5832
RPTN,2355
HRNR,8553
FLG,12186
FLG2,7176
CRNN,1488
LCE5A,357
CRCT1,300
LCE3E,279
LCE3D,279
LCE3C,285
LCE3B,288
LCE3A,270
LCE2D,333
LCE2C,333
LCE2B,333
LCE2A,321
LCE4A,300
C1orf68,753
KPRP,1740
LCE1F,357
LCE1E,357
LCE1D,345
LCE1C,357
LCE1B,357
LCE1A,333
LCE6A,243
LCE7A,288
SMCP,351
IVL,1758
SPRR5,327
SPRR4,240
SPRR1A,270
SPRR3,510
SPRR1B,270
SPRR2D,219
SPRR2A,219
SPRR2B,219
SPRR2E,219
SPRR2F,219
SPRR2G,222
LELP1,297
PRR9,351
LORICRIN,939
PGLYRP3,1026
PGLYRP4,1122
S100A9,345
S100A12,279
S100A8,282
S100A7A,306
S100A7L2,306
S100A7,306
S100A6,273
S100A5,279
S100A4,306
S100A3,306
S100A2,297
S100A14,315
S100A13,297
S100A1,285
CHTOP,747
SNAPIN,411
ILF2,1173
NPR1,3186
INTS3,3129
SLC27A3,2436
GATAD2B,1782
DENND4B,4491
SLC39A1,975
CREB3L4,1188
JTB,441
,612
RAB13,612
RPS27,255
NUP210L,5667
TPM3,858
CFAP141,306
C1orf43,762
UBAP2L,3264
HAX1,840
AQP10,906
ATP8B2,3573
IL6R,1407
SHE,1488
TDRD10,1056
UBE2Q1,1269
CHRNB2,1509
ADAR,3681
KCNN3,1257
PMVK,579
PBXIP1,2196
PYGO2,1221
SHC1,1425
CKS1B,240
FLAD1,1473
LENEP,186
ZBTB7B,1620
DCST2,2322
DCST1,2121
ADAM15,2592
EFNA4,606
,702
EFNA3,717
EFNA1,618
SLC50A1,666
DPM3,279
KRTCAP2,411
TRIM46,2280
MUC1,822
THBS3,2871
MTX1,954
GBA1,1611
ENTREP3,2007
SCAMP3,1044
CLK2,1497
HCN3,2325
PKLR,1632
FDPS,1260
RUSC1,1302
ASH1L,8895
MSTO1,1713
YY1AP1,2391
DAP3,1197
GON4L,6723
SYT11,1296
RIT1,660
KHDC4,1845
RXFP4,1125
ARHGEF2,2877
UBQLN4,1806
LAMTOR2,378
RAB25,642
MEX3A,1563
LMNA,1995
SEMA4A,2286
SLC25A44,945
PMF1-BGLAP,636
PMF1,618
BGLAP,303
PAQR6,1035
SMG5,3051
TMEM79,1185
GLMP,1221
VHLL,420
CCT3,1638
TSACC,378
RHBG,1377
MIR9-1HG,471
IQGAP3,4896
TTC24,1749
NAXE,867
GPATCH4,1113
HAPLN2,1023
BCAN,2736
NES,4866
CRABP2,417
ISG20L2,1062
METTL25B,1428
MRPL24,651
HDGF,723
PRCC,1476
SH2D2A,1170
INSRR,3894
NTRK1,2391
PEAR1,3114
LRRC71,1680
ARHGEF11,4689
ETV3L,1086
ETV3,1539
FCRL5,2934
FCRL4,1548
FCRL2,1527
FCRL1,1290
CD5L,1044
KIRREL1,2274
SMIM42,213
CD1D,1008
CD1A,984
CD1C,1002
CD1B,1002
CD1E,1167
OR10T2,945
OR10K2,939
OR10K1,942
OR10R2,1008
OR6Y1,978
OR6P1,954
OR10X1,981
OR10Z1,942
SPTA1,7260
OR6K2,975
OR6K3,948
OR6K6,1032
